plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-113-MP,M3M Mansion Ph 2,M3M MANSION PH-2,GGM/916/648/2025/19,GGM/916/648/2025/19 DATED 20.02.2025,2026-03-31,JAN-MAR,244,36,137,56.15%,false
GGM-31-ALI,Godrej Alira,GODREJ ALIRA,GGM/959/691/2025/62,GGM/959/691/2025/62 DATED 26.06.2025,2026-03-31,JAN-MAR,134,1,92,68.66%,false
GGM-31-ARI,Birla Arika,BIRLA ARIKA,GGM/914/646/2025/17,GGM/914/646/2025/17 DATED 20.02.2025,2026-03-31,JAN-MAR,322,0,322,100.00%,true
GGM-32-PFV,Central Park Flower Valley,CENTRAL PARK FLOWER VALLEY PHASE IV,GGM/1026/758/2025/129,GGM/1026/758/2025/129 DATED 30.12.2025,2026-03-31,JAN-MAR,25,0,0,0.00%,false
GGM-32-PO,Central Park The Orchard,CENTRAL PARK THE ORCHARD,GGM/672/404/2023/16,GGM/672/404/2023/16 DATED 23.01.2023,2026-03-31,JAN-MAR,360,2,173,48.06%,false
GGM-32-PST,Central Park The Selene Tower,THE SELENE TOWER,GGM/964/696/2025/67,GGM/964/696/2025/67 DATED 01.07.2025,2026-03-31,JAN-MAR,391,14,293,74.94%,false
GGM-33-FLA,Central Park Flamingo Floors,BELLA VISTA - CENTRAL PARK RESORTS,GGM/379/111/2019/73,GGM/379/111/2019/73 DATED 23.12.2019,2026-03-31,JAN-MAR,565,14,487,86.19%,false
GGM-36A-ANT,Max Antara,ESTATE 361,GGM/1012/744/2025/115,GGM/1012/744/2025/115 DATED 21.11.2025,2026-03-31,JAN-MAR,1347,82,82,6.09%,false
GGM-36A-DAX,Signature Global Daxin Vistas,DAXIN GURUGRAM'S X FACTOR,GGM/868/600/2024/95,GGM/868/600/2024/95 DATED 20.09.2024,2026-03-31,JAN-MAR,945,11,318,33.65%,false
GGM-36A-E,Max Estate 360,ESTATE 360,GGM/860/592/2024/87,GGM/860/592/2024/87 DATED 16.08.2024,2026-03-31,JAN-MAR,1025,1,286,27.90%,false
GGM-36A-KFR,Krisumi Waterside Forest Reserve,WATERSIDE RESIDENCES THE FOREST RESERVE-II,GGM/945/677/2025/48,GGM/945/677/2025/48 DATED 02.05.2025,2026-03-31,JAN-MAR,244,0,0,0.00%,false
GGM-36A-KP3,Krisumi Waterfall Residences (Ph 3),WATERFALL SUITES-II,GGM/816/548/2024/43,GGM/816/548/2024/43 DATED 15.04.2024,2026-03-31,JAN-MAR,439,1,180,41.00%,false
GGM-36A-KP5,Krisumi Waterside Residences,KRISUMI WATERSIDE RESIDENCES,GGM/812/544/2024/39,GGM/812/544/2024/39 DATED 08.04.2024,2026-03-31,JAN-MAR,612,20,152,24.84%,false
GGM-36A-TER,Max Estate Terraces,ESTATE 361,GGM/1012/744/2025/115,GGM/1012/744/2025/115 DATED 21.11.2025,2026-03-31,JAN-MAR,1347,82,82,6.09%,false
GGM-37D-GSD,Signature Global Sarvam at DXP Estate,SIGNATURE GLOBAL SARVAM AT DXP ESTATE,GGM/1008/740/2025/111,GGM/1008/740/2025/111 DATED 07.11.2025,2026-03-31,JAN-MAR,2159,461,461,21.35%,false
GGM-43-MIR,Godrej Mirayah,GODREJ MIRAYA,GGM/870/602/2024/97,GGM/870/602/2024/97 DATED 24.09.2024,2026-03-31,JAN-MAR,251,1,71,28.29%,false
GGM-45-ELE,Experion Elements,THE TRILLION,GGM/911/643/2025/14,GGM/911/643/2025/14 DATED 11.02.2025,2026-03-31,JAN-MAR,544,7,130,23.90%,false
GGM-46-DUA,SP Dualis,THE DUALIS,GGM/939/671/2025/42,GGM/939/671/2025/42 DATED 01.05.2025,2026-03-31,JAN-MAR,198,22,64,32.32%,false
GGM-48-BEL,Central Park Belaperla,BELLA VISTA - CENTRAL PARK RESORTS,GGM/379/111/2019/73,GGM/379/111/2019/73 DATED 23.12.2019,2026-03-31,JAN-MAR,565,14,487,86.19%,false
GGM-48-TRI,Experion Trillion Tower 2,THE TRILLION,GGM/911/643/2025/14,GGM/911/643/2025/14 DATED 11.02.2025,2026-03-31,JAN-MAR,544,7,130,23.90%,false
GGM-49-ARI,Godrej Aristocrat,GODREJ ARISTOCRAT,GGM/767/499/2023/111,GGM/767/499/2023/111 DATED 04.12.2023,2026-03-31,JAN-MAR,865,2,665,76.88%,false
