plinth_code,project_name,hrera_project_name,rera_number,registration_number,quarter_end_date,quarter_label,total_units,sold_in_quarter_units,cumulative_sold_units,cumulative_absorption_pct,capped_at_total_units
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2024-12-31,OCT-DEC,744,15,15,2.02%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2025-03-31,JAN-MAR,744,21,36,4.84%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2025-06-30,APR-JUN,744,15,51,6.85%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2025-09-30,JUL-SEP,744,11,62,8.33%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2025-12-31,OCT-DEC,744,2,64,8.60%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2026-03-31,JAN-MAR,744,4,68,9.14%,false
GGM-103-VRI,Godrej Vriksha,GODREJ VRIKSHYA,GGM/846/578/2024/73,GGM/846/578/2024/73 DATED 01.07.2024,2026-06-30,APR-JUN,744,4,72,9.68%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2019-03-31,JAN-MAR,1103,258,258,23.39%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2019-06-30,APR-JUN,1103,88,346,31.37%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2019-09-30,JUL-SEP,1103,33,379,34.36%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2019-12-31,OCT-DEC,1103,65,444,40.25%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2020-03-31,JAN-MAR,1103,19,463,41.98%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2020-06-30,APR-JUN,1103,4,467,42.34%,false
GGM-104-HP,Hero Homes Phase 2,HERO HOMES,GGM/292/2018/24,GGM/292/2018/24 DATED 13.11.2018,2020-09-30,JUL-SEP,1103,40,507,45.97%,false
